type	uri	avsender
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=930b0ebc-f8a4-4ff1-859a-9ed1cebfcb69	Grieg Seafood ASA
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=9005e38e-4fd7-4714-a3a3-56e2f136a54e	Gulen kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=77cc3b6e-647f-4547-a901-d485b3efe89c	Hadsel kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=6e3e1e85-6a5d-4168-92fc-bb0e1f0d33ab	HAFS Regionråd
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=5c3f936f-761d-4875-8b49-2af9db50fe8d	Hammerfest kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=7ab62ba8-456d-45dd-8866-1502da68d2be	Harstad kommune
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/heim-kommune.pdf?uid=Heim_kommune	Heim kommune (PDF, 1016KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=84e85fa4-89bf-4eb3-93e4-16eb7a1d3192	Hitra kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=27888aeb-f354-4325-8dfc-fc6a872f0ae2	Hjelmeland kommune
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/instituttene-for-finans--og-samfunnsokonomi-ved-bi.pdf?uid=Instituttene_for_finans-_og_samfunns%C3%B8konomi_ved_BI	Instituttene for finans- og samfunnsøkonomi ved BI (PDF, 804KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=80b83e73-4631-45ae-ac65-e003177b524f	Interkommunalt politisk råd Namdal (Namdal regionråd)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=0ff809b9-bb42-4f79-a6fc-d1e177d46949	Justis- og beredskapsdepartementet (uten merknader)
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/karlsoy-kommune.pdf?uid=Karls%C3%B8y_kommune	Karlsøy kommune (PDF, 289KB)
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/klima--og-miljodepartementet.pdf?uid=Klima-_og_milj%C3%B8departementet	Klima- og miljødepartementet (PDF, 291KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=63d126ec-04e8-4bdf-9c54-0a1cf78987e0	KPMG Law Advokatfirma AS (uten merknader)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=d4beab37-98e9-4db3-a915-82bda0a90a3a	KS
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/ks-troms-og-finnmark.pdf?uid=KS_Troms_og_Finnmark	KS Troms og Finnmark (PDF, 382KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=3628aa96-54c3-4a6e-89fa-be9546b6480f	Kvam herad
pdf	https://www.regjeringen.no/contentassets/0c756aa6ea344a05bb539016ebd0c0d2/kvam-hogre.pdf?uid=Kvam_h%C3%B8gre	Kvam høgre (PDF, 87KB)
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=40b10be1-df3a-4813-9e51-ef564318fb15	Kvinnherad kommune (uten merknader)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=096c1c93-55da-48c1-b351-a2521d18049d	Kystrederiene
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=89a13392-31ea-4f5d-ac5f-b5009248f521	Landsorganisasjonen i Norge
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=c6a42dcf-79d5-4319-8547-e2a7ff0abe9d	Lebesby kommune (uten merknader)
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=903605fa-3832-4c04-aee9-b46ca2f44f2f	Leka kommune
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=4213ef6d-90fc-495b-9e6c-a06c2d893531	LO i Trondheim
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=d53ff2da-2dda-40a9-9311-8a1e6223fb5d	Lofotrådet
html	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=3e4d8b3b-81f1-4a45-9d51-36bc4e3b8ab5	Lurøy kommune, formannskapet
pdf	https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=cd814228-46ad-4bb1-9762-7f97e43a3e75	Marine Constructions AS og Risnes Marine Craft AS
