type	uri	avsender
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=98862985-fad4-4c1c-8fe1-10950ae050cb	Alsaker Fjordbruk AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=7179c5f6-f1c0-4515-ad0f-3a29799ac795	Alstahaug kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=18e6064f-b9b7-401f-8832-8645142a356e	Alta kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=8d27f3d2-1521-497f-beeb-8a4b4ca1ccdb	Alver kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=5d652999-b0f4-4054-9a1f-a87f38fef4d5	Anders Fretheim
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=b96da63d-9942-40ef-97a6-00fca03726d5	ANFACO-CECOPESCA
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=981ff41a-d57b-4bcd-be7b-32ed0f08f796	AQS AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=1809cba1-3265-4699-8a17-caeb89954795	Aqua Kompetanse AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=68fce656-6b25-44ba-960b-e277e697bd36	Arne Byrkjeflot
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=ec979975-ea92-43cf-97a2-f0abf33e7057	AS Bolaks
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=521cf01b-f380-45f8-985b-3dca760ef605	Astorplast AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=9f10b744-dc27-4a44-9429-fae57af921d2	Aud Skrudland
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=b04bf831-57b6-4088-844c-8429b56b2138	Aukra kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=50c0554f-1aa1-45a8-8967-eeb7a09ea88f	Aukra Sykkelklubb
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=30e1f584-d036-4ec8-8423-11fb5b9e9bfc	Aure kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=f4554c93-a6bb-4f6b-8421-4be291d87518	Austevoll kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=f2c43b4a-2fb2-4e3c-98f0-a3e2713480c3	Austevoll kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=083b1a5a-1e70-4e2b-ba08-207c01f6882e	Ballangen Holding AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=fdb8b06b-714a-40ba-8e56-47ecc02c4ccd	BDO Advokater AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=8b05ae81-729a-472d-8f8d-be293094575b	Bedriftsnettverket FLO-sjø
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=62a35c92-d5ca-4de1-86d3-5cc2f5712f3d	Benchmark Holdings
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=850ab798-65a0-47e3-b380-60c1f75549db	Bergen Næringsråd
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=2516d6d7-dbbd-4c59-a297-5af35605b5a6	Bindal kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=eedf9f72-fd0c-4e0c-ab65-7bafb29d6ed1	Biomarint forum
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=6fed67c9-9142-43c1-9486-ef10c51bcd98	Bitastad AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=c9e2b5bb-af62-441e-b9e4-1f62793366cf	Bjørnafjorden kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=0a791994-241b-4484-a36d-c1c0fb452502	Bjørøya AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=89911a8d-e5db-4a0e-a040-6fc457979fa6	Blue Ocean Technology AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=d827ab9f-7752-4ab8-ab7e-c8937cb307bd	Bodøregionens Utviklingsselskap AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=2975e8ff-05b0-4db0-96f5-ba3dff9e8df0	Bokn kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=6f161a72-2607-40ff-88eb-a02c849c654a	Bravo Seafood AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=f71bce86-e7d9-415a-9fb0-b4c80e8fb9d0	Bremnes Seashore AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=f9731e71-135a-40ab-9d24-7af365198c39	Bremnes Seashore AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=ad44d2f1-951b-4be0-8966-64085b6d3179	Brødr. Hukkelberg AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=3de29ca9-e136-4109-bea2-86e63b5888fe	Bø kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=ae958593-a710-46fb-bf35-b2b770c7ebd8	Bømlo kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=2223e0c9-dbc3-42b4-a05f-7ae3fdb136c2	Bømlo Næringsråd
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=89a2eb60-59f3-4df3-8734-57b53f6af11f	Bård Misund og Ragnar Tveterås, professorer, Universitetet i Stavanger
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=0c60a874-b2d2-42b5-9dbc-26211d620b9b	Carnegie AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=a0881c16-5ae1-4da1-b5b8-cda1fff3f406	Cermaq Norway AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=4a38e054-749e-4f53-84ad-9e9c41581747	Cflow AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=4fa5aa41-ae33-4a0b-837e-fff786875dae	Christian Nordby
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=92ea431b-bfb2-4eba-beb5-5a538845af1c	CNRM AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=abe5467e-9101-44d2-a496-c9518833e9ba	Conchilia
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=c3723f22-93f2-48a7-bff5-9aef743215ab	Den norske Revisorforening
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=497e027c-6b7a-4e4b-b4df-1d4891c0b6c7	Det norske maskinistforbund
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=35bfa9ae-adf6-4147-bfcf-9e41b73176e4	DNB Bank ASA
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=4655b0e1-73ed-48e9-aebc-f7869e488dc6	Dyrøy kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=54db9bf5-062a-4cd6-ad7b-1a57fac68ad0	Dønna kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=5ee12546-c98e-490d-b505-2525b531db51	Econa
pdf	https://www.regjeringen.no/contentassets/456ce38960ac44e4a3af04b3438d252a/edelfarmen-as.pdf?uid=Edelfarmen_AS	Edelfarmen AS (PDF, 437KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=711c2c46-c323-4dbd-8a00-f667fdce7ef6	Egersund FrP
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=1ebd7987-f6de-47ca-ba6d-646893e1c04b	Egersund Group AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=7a8de57c-0612-4d78-841c-e7016e014b8d	Egil Kristoffersen & sønner AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=0c0acad1-b390-4237-af72-c01dc45b4009	Eide Fjordbruk AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=88eefe1c-f0c6-4ce6-9d63-c7de0c2322a3	Eigersund kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=9a428a2d-6313-4ae1-8eb0-ff81ae6f6dce	Eivind Riise
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=114f7676-f61d-4aff-a521-dc67e38dcd0a	Eivind Riise
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=84421370-f44b-49eb-b8e2-6eb4147050f2	Eivind Riise
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=f4ac332f-c10f-45eb-b9f4-d650a6c5fffa	Eivind Riise
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=74e8ca63-4ffc-4038-ae00-24e033baafa3	ELCOM AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=c78dfaa1-a219-4606-badd-3cf1757ccada	Ellingsen Seafood AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=f20ff041-6f50-4a7e-91cf-78ccca070f29	Emilsen Fisk AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=3cef161a-ba1f-4bcb-b822-08538a722c96	Endre Stavang, professor, UiO
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=8c31c9e4-ec90-457a-b0ef-4e1ea3bbb310	Energi Norge
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=ad8877b8-7660-4495-b4c5-033f8d46c061	Energigass Norge
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=57c35313-ca43-450d-a142-e7d55496de51	Erlend Bakke
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=79d39aa1-047e-4529-b8e6-42510f1dd353	European Salmon Smokers Association
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=fa2cd270-4101-4ef9-bf5c-ebfb9050b490	Family Business Norway
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=5701392c-c334-491b-bf94-6ca0f8eb111b	Fauske kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=88201bbc-94bd-441e-af95-ea8cf75e53ca	FiiZK Holding AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=84961350-39f9-4d16-a750-93650c1742a7	Firda Seafood Group AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=aefb013a-cfe3-4eb3-904f-25d0e5ca9cd5	Fish Pool ASA
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=0f31f2f1-e0ce-4f1d-b1ac-e60ff977e6c7	FISKEBÅT
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=bab55fcf-30b3-4c77-bdc8-a5a559c5130c	Fiskeri og havbruksnæringens Forskningsfinansiering AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=cc86fe7f-1786-4cff-92e3-c1f03ec52877	Fiskeridirektoratet
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=0be4433a-c20d-42a8-a550-017b7dfeb580	Fitjar kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=5876ae37-79f5-4f42-a2f7-5ba5edd6cd75	Fitjar Mekaniske Verksted AS
pdf	https://www.regjeringen.no/contentassets/456ce38960ac44e4a3af04b3438d252a/flakstadvag-laks.pdf?uid=Flakstadv%C3%A5g_Laks	Flakstadvåg Laks (PDF, 208KB)
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=3c5abf97-55bc-4118-b9ac-52024e18d635	Flatanger FrP
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=28329b2c-8f21-4217-af72-b32d56393a68	Flatanger Idrettslag
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=a9833217-1f8f-4d06-979f-5ed157b8cfb9	Flatanger kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=a0e4c3f3-8fa0-4406-b6d8-5b44240bcf25	Flatanger Næringsforum
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=8cba0d47-2f05-494e-a053-864cb5ec9ca1	Flatanger Settefisk AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=18eb5f8c-ed7f-4225-9ecf-89178eedb734	Flatanger SV
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=a4ed42f5-0daf-472d-8b37-f0a2f37dd479	Folla Bil & Båt as
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=19d0d61e-344c-42d8-b719-5fcd4145741b	Folla Elektro AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=600cc838-e14a-4ee8-83ca-25eab2fa2fa3	Folla Maritime Service AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=06955fd2-f024-4ada-b610-dad5c9c72abe	Framo Aquacultur
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=fe072aec-6544-4d68-b173-c6244f5b42a0	Freddy Johansen
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=75d41c28-75da-4e72-9d35-6280c7ab69ad	Frøy ASA
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=05a824e6-8ef1-4ca4-8c36-53eea5bec419	Frøya Arbeiderparti
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=e01ab46a-b111-4cdb-b5c6-17fc10c1f738	Frøya Idrettslag
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=7647fe8d-f5c3-4db0-b9db-9a75066dc555	Frøya Næringsforum
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=560b4f3b-afb0-40f6-9683-15ae25d3c172	FSV Group aS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=6cf5f1c0-3820-49c4-b36e-291c927ebe6a	Geir Inge Rødseth
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=f6c2e73a-7c70-40c8-911e-c6b17f41aacf	Gildeskål kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=d9ad115a-347f-46e1-b589-1e59dadd0264	Gildeskål kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=1d61dfb4-3d40-4573-8ba5-36b5598da91a	Giske kommune v. formannskapet
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=b0a4c57f-444c-4733-8189-6da2c72285d5	Global Aquaculture Tech HUB
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=288a6ce5-400d-4110-bb81-c8271cab5274	Gossen Idrettslag
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=ef8cafe3-9ec9-42ea-a94a-4a6bf5f5090c	Gratangen kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=ee75270c-6fc0-43de-8a74-acde92ead5f0	Grieg Maturitas AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=f0e0baf4-df67-4a5a-adac-b6859fae1b1f	Grieg Seafood ASA
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=5a1eb63f-7452-4182-b4c8-0c5680e18469	GSG AS Org nr 914163226
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=d164980d-3d1e-43cb-b4e8-00f244ee0bdc	Gudbrand Stenersen
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=7323ba05-a748-4fab-a9f4-0d3be0d0a897	Gulen kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=18ee0139-0254-4505-9948-2d250f344c07	Gulen og Masfjorden Utvikling as
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=1bf82e9a-2a9d-48d5-b842-5c87214b3048	Hammerfest kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=2218ab46-f1b0-41e5-aaca-cbfba643a2b9	Hareid Næringsforum og Ørsta Næringskontor
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=24e4f0cd-f3e3-4f6d-8bc7-d45e58e59f91	Harstad kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=d5b1310c-da08-44e3-94a7-047b22211ea7	Hasvik kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=8e388d6d-4b3d-4d07-9a02-2866e4569870	Hauge Aqua AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=371b1cae-fee3-4c91-b9d6-6181c2892bdc	Havbruk til havs gruppen i Norsk Industri
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=b665e903-d774-47ed-b06a-c4397e93deae	Havklynga SA
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=1b56f05e-4533-4fc2-aefe-a51052ee45a2	Havørn Sjømat AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=080b2160-de0c-42a2-b757-cc7e6bdffe45	Heim kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=74f5e2fb-adbf-4767-b8d1-5786b5bcb87b	Herøy kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=4f544886-2fa2-47a8-91d9-7cf66c5279c3	HiA Gruppen (Havbrukerne i Astafjorden)
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=535b2703-bae9-4300-8b6b-c0f2bc2a735e	Hitra Fotballklubb
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=bd9521f2-5d38-41b1-92d4-1153fb5027af	Hitra kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=d200d573-9cfe-4fa7-adc4-9219c3fcd572	Hjelmeland kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=92da0227-bb5a-4f6c-966a-b94fe91496c6	Hofseth International AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=793ae571-960d-42ca-8c03-87616cef79f0	Holmøy Maritime AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=d2585e5c-9f33-45e5-9cb5-f131724fd541	Hordaland Rørteknikk AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=e9bc7694-9fe7-4fa7-b48d-ae59ae6dfe01	Hussain Rafiq Iqbal Javed
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=4c9bf05c-684d-4928-ac9d-c63b26a95fba	Hustadvika Arbeiderparti
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=25819b50-57dd-467f-807b-3c37cd0f4a76	Høringsinstansen
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=ab59fe29-7b2f-405a-bd3c-1461da0b029a	Hålogalandsrådet IPR
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=68eb3221-6ba7-41bd-a7f3-079e37cbfdb1	Håvard Skibenes
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=a61b743b-d7fa-437e-9ac5-a44b1c38b900	Ibestad kommune
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=944e3ad0-3b37-4d6d-9f7c-f1afb59fe52e	Ida Knutsen
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=8446a4cc-dec2-4f2b-aa25-581571373787	Incentive AS
