type	uri	avsender
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=acb78ab5-378a-42b5-bddb-ebc0e91def58	1. vara til Stortinget, Guro Holm Skillingstad
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=2d794a07-b502-4934-963b-ae97fc1bfd14	A - Frøya kommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=06e9067e-58b9-499b-a168-9206a3dcda10	Abelvær Filetfabrikk AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=69e296f6-13c5-4e13-904e-f4b701602d81	Abyss Group AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=0ec1182e-a2bc-4099-bdea-7551dfb3f96b	Advokatfirmaet Schjødt AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=50002df5-068b-4fa5-81c0-0e9df96b2433	Advokatfirmaet Thommessen AS
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=5300c3b7-c6b4-4648-b5f9-0b450c5c3902	Advokatforeningen
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=ab914ddd-4895-47e6-a109-c6f2b034a9a0	Agder fylkeskommune
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=4801e954-9f72-44c3-b801-d9d76bea816c	Aina Nilsen
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=95945c0c-5b28-4d6d-9f04-058cc5bde905	AIPCE-CEP EU Fish Processors and Traders Association
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=0d029672-f819-4fbe-9932-311a5925979e	Air Cargo Logistics AS
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=8086f27e-4489-4760-a561-34687d378334	Akademikerne
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=4aa4d477-0279-4308-b19b-fe3ca6cc178b	Aker Solutions As
html	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/?uid=5c875467-bc23-49ad-a14c-bea8500ffeb4	Aksjonærforeningen
pdf	https://www.regjeringen.no/no/dokumenter/horing-grunnrenteskatt-pa-havbruk/id2929159/Download/?vedleggId=6217ab13-a50e-4c87-badf-b600ab19f783	AKVA group ASA
