filnavn,sti,aar,avsender,uid,kilde_type,kilde_fil,kilde_uri,antall_tegn,antall_ord
2019_bla-horisont-2030_no-uid_a6efc6caf6.txt,høringer/foer-2022/2019_bla-horisont-2030_no-uid_a6efc6caf6.txt,2019,Blå horisont 2030,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000006_sha256_838ec3cf0f01e4f15e1b80310f9f35874c603dc87f069dfba99347cf11771545.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=ff6125f2-09fe-4cdc-a669-3a1a1794c922,7745,1192
2019_blue-planet-as-og-stiim-aqua-cluster_f3b44d15-c7ae-4eca-862e-442bce224a73.txt,høringer/foer-2022/2019_blue-planet-as-og-stiim-aqua-cluster_f3b44d15-c7ae-4eca-862e-442bce224a73.txt,2019,Blue Planet AS og Stiim Aqua Cluster,f3b44d15-c7ae-4eca-862e-442bce224a73,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000005_sha256_14fbf994b72418264676605a65bb6ee0c83cd05c0de167f246ee8240305dcdf8.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=f3b44d15-c7ae-4eca-862e-442bce224a73,6501,942
2019_bod-kommune_88c5702d-7e01-41af-af0c-f467d3ab8357.txt,høringer/foer-2022/2019_bod-kommune_88c5702d-7e01-41af-af0c-f467d3ab8357.txt,2019,Bodø kommune,88c5702d-7e01-41af-af0c-f467d3ab8357,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000008_sha256_6a4c901ac36d9a01d0467a9104596174f70f038f03746a20bd8925bc556ebb98.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=88c5702d-7e01-41af-af0c-f467d3ab8357,2813,440
2019_bodregionens-utviklingsselskap-as-brus_no-uid_f07e6b1276.txt,høringer/foer-2022/2019_bodregionens-utviklingsselskap-as-brus_no-uid_f07e6b1276.txt,2019,Bodøregionens Utviklingsselskap AS - BRUS,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000007_sha256_6995701572daf4091bf36ba058ff2d9273a1fad3f228da565fa10f6376384392.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=fe7b0263-c7b0-45fd-a191-93d065f5c874,3213,484
2019_bremanger-kommune_no-uid_c6e6647ab4.txt,høringer/foer-2022/2019_bremanger-kommune_no-uid_c6e6647ab4.txt,2019,Bremanger kommune,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000009_sha256_33ec92ea28cce9221f9a2beb45c404cd6ee341e224828874b95add9579ac83e5.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=00aaacd4-2aa5-4537-8d9a-ff54eac3e254,10668,1597
2019_brnnbateiernes-forening_no-uid_e37cdb52f5.txt,høringer/foer-2022/2019_brnnbateiernes-forening_no-uid_e37cdb52f5.txt,2019,Brønnbåteiernes Forening,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000010_sha256_c20fd4365e127748f0e88c91df9a0618fd38ff77387e87e50681caa0fd1e9185.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=86db8f9e-477f-4106-8a73-ab85c5cbcd7a,2608,371
2019_brnny-kommune_no-uid_bae754b228.txt,høringer/foer-2022/2019_brnny-kommune_no-uid_bae754b228.txt,2019,Brønnøy kommune,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000008_sha256_32d92fb2dd1740fb508170c20cb92796ce61bcfc8ad78f3caad8ed57d8f19356.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=86cd89c2-8765-46f3-a758-800f5319d794,8843,1320
2019_det-norske-maskinistforbund_no-uid_20e4a43561.txt,høringer/foer-2022/2019_det-norske-maskinistforbund_no-uid_20e4a43561.txt,2019,Det norske maskinistforbund,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000011_sha256_f29f0c1e4abb27e37d247e6b5c514deb05fd82042ca1327caee1da9d8a60b451.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=34394f29-63f4-4289-9df0-970922f6ef30,5710,895
2019_dnna-kommune_fb316638-3635-42cc-b0c3-1d5ef654c558.txt,høringer/foer-2022/2019_dnna-kommune_fb316638-3635-42cc-b0c3-1d5ef654c558.txt,2019,Dønna kommune,fb316638-3635-42cc-b0c3-1d5ef654c558,html,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102359694-1_0000009_sha256_b0c629cab1a01495957a35546e3557d03e2abfaaa7eba5088ba38bdd4e3d7af8.html,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/?uid=fb316638-3635-42cc-b0c3-1d5ef654c558,1352,204
2019_emilsen-fisk-as_no-uid_e969987dd2.txt,høringer/foer-2022/2019_emilsen-fisk-as_no-uid_e969987dd2.txt,2019,Emilsen Fisk AS,no-uid,pdf,data/content/nasjonalbiblioteket-svar-horing-nou-2019-18-skattlegging-av-havbruk-manual-20260209102305-d5e71684-918-20260209102358003-0_0000014_sha256_3b0e46591ad0c85a6162754b7c5513ab669e7894b35713e3eba6055496d7b7fa.pdf,https://www.regjeringen.no/no/dokumenter/horing--nou-2019-18-skattlegging-av-havbruk/id2676532/Download/?vedleggId=79465b7b-d980-4e18-b498-531690362d53,8504,1297
